STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21,WT22,WV03,EXTRM
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",29-04-2000,3.58,1833,1828,0,0,0,66,78,53,130,120,0,10.1,13,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30-04-2000,5.82,1248,1238,0,0,0,64,76,51,80,60,0,19.9,23.9,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",01-05-2000,6.26,1351,1820,0,0,0,64,80,47,120,140,0,17,19.9,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",02-05-2000,4.7,1625,1634,0,0,0,71,84,58,110,120,0,15,17.9,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",03-05-2000,5.82,1637,1411,0,0,0,70,82,58,100,100,0,17,21,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",04-05-2000,6.49,1516,1636,0,0,0,71,81,60,90,90,0,17.9,23,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",05-05-2000,6.26,1720,1719,0,0,0,71,82,60,100,110,0,16.1,19.9,1,1,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",06-05-2000,6.26,1538,1528,0,0,0,69,81,57,100,140,0,17,21,1,1,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",07-05-2000,5.14,1720,1501,0,0,0,68,81,54,130,70,0,14.1,17,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",08-05-2000,5.37,1820,1826,0,0,0,69,83,54,120,110,0,14.1,16.1,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",09-05-2000,6.49,1658,1655,0.03,0,0,74,87,60,170,180,0,21.9,30,,,1,,,,,,,,,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",10-05-2000,7.38,1515,1446,0,0,0,78,90,65,280,250,0,16.1,21,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",11-05-2000,5.82,1731,1324,0,0,0,80,93,66,160,280,0,13,19.9,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",12-05-2000,6.93,1346,1345,0,0,0,80,93,67,270,280,0,14.1,17.9,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",13-05-2000,7.16,1453,1005,0,0,0,79,93,64,240,290,0,16.1,17.9,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",14-05-2000,8.05,2102,2101,1.06,0,0,79,92,66,20,10,0,25.1,31.1,1,,1,,,,,,,,1,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",15-05-2000,9.17,1210,1210,0.01,0,0,72,81,63,70,80,0,23.9,30,1,,,,,,,,,,1,,1,,,,,
